Video ID,Comment,Sentiment Score
V9zWygHc18M,"Thanks for sharing this, learned a lot.",0.6908
V9zWygHc18M,"You explained this so well, thank you!",0.7014
V9zWygHc18M,"Your videos are always so helpful, thank you!",0.7708
V9zWygHc18M,"Very well done, appreciate this video!",0.6857
V9zWygHc18M,"This video was amazing, learned a lot.",0.5859
V9zWygHc18M,Really appreciate the insights in this video.,0.4576
V9zWygHc18M,That Was a Comeback and a Half,0.0
V9zWygHc18M,"This was exactly what I needed, thanks!",0.4926
V9zWygHc18M,"Fantastic video, really appreciate your effort!",0.7836
V9zWygHc18M,Really appreciate the insights in this video.,0.4576
V9zWygHc18M,"Loved this video, keep up the great work!",0.8516
V9zWygHc18M,"Thank you for this video, very enlightening!",0.7495
V9zWygHc18M,"Loved the content, keep it coming!",0.636
V9zWygHc18M,"Loved this video, keep up the great work!",0.8516
V9zWygHc18M,"Your videos are always so helpful, thank you!",0.7708
V9zWygHc18M,"Awesome video, looking forward to the next one!",0.6588
V9zWygHc18M,"You explained this so well, thank you!",0.7014
V9zWygHc18M,"Fantastic video, really appreciate your effort!",0.7836
V9zWygHc18M,"Thanks for sharing this, learned a lot.",0.6908
V9zWygHc18M,"So much can be said about this game! But Barca players resurrection In Flick&#39;s team is incredible. Beside Lewa, Yamal, and Rapha, Ferran Torres is now a super sub who does it every game. Pedri is a master mind in the field, even Martinez has improved. Also Hansi&#39; celebrating like a child after the 3rd and 4th game tells you how Barca&#39;s mentality is.",0.9642
V9zWygHc18M,Great video! Really enjoyed it.,0.8395
V9zWygHc18M,"Fantastic video, really appreciate your effort!",0.7836
V9zWygHc18M,Really appreciate the insights in this video.,0.4576
V9zWygHc18M,Amazing content as always!,0.6239
V9zWygHc18M,"Very well done, appreciate this video!",0.6857
V9zWygHc18M,Lol where is the el pitbull hype now??,0.4871
V9zWygHc18M,"This was super helpful, thanks!",0.8718
V9zWygHc18M,"Great job, this video was very useful!",0.8217
V9zWygHc18M,"Thank you for this video, very enlightening!",0.7495
V9zWygHc18M,"You explained this so well, thank you!",0.7014
V9zWygHc18M,Really appreciate the insights in this video.,0.4576
V9zWygHc18M,"Thanks for sharing this, learned a lot.",0.6908
V9zWygHc18M,Thank you for the great content!,0.784
V9zWygHc18M,"Fantastic video, really appreciate your effort!",0.7836
V9zWygHc18M,"Check out these highlights as Atletico Madrid defeats Barcelona, 4-2, in LALIGA action. <br><br>COPY AND PASTED FROM THE SUMMARY under the video 🤔",-0.3182
V9zWygHc18M,"This was super helpful, thanks!",0.8718
V9zWygHc18M,"This was very informative, appreciate it.",0.4549
V9zWygHc18M,Great video! Really enjoyed it.,0.8395
V9zWygHc18M,"Fantastic video, really appreciate your effort!",0.7836
V9zWygHc18M,"Fantastic explanation, thank you!",0.75
V9zWygHc18M,"Loved this video, keep up the great work!",0.8516
V9zWygHc18M,"This video was amazing, learned a lot.",0.5859
V9zWygHc18M,"Fantastic explanation, thank you!",0.75
V9zWygHc18M,Amazing content as always!,0.6239
V9zWygHc18M,Great video! Really enjoyed it.,0.8395
V9zWygHc18M,"Great job, this video was very useful!",0.8217
V9zWygHc18M,"This was exactly what I needed, thanks!",0.4926
V9zWygHc18M,"This was exactly what I needed, thanks!",0.4926
V9zWygHc18M,Amazing content as always!,0.6239
V9zWygHc18M,Amazing content as always!,0.6239
v7TAEhveCPk,"Thanks for sharing this, learned a lot.",0.6908
v7TAEhveCPk,"Very well done, appreciate this video!",0.6857
v7TAEhveCPk,"Fantastic explanation, thank you!",0.75
v7TAEhveCPk,"Thank you for this video, very enlightening!",0.7495
v7TAEhveCPk,La edad pesa a veces falla en situaciones claras pero la calidad de goleador que es Lewandowski es fenomenal ese instinto goleador uffff Crack ❤,0.6369
v7TAEhveCPk,Raphina balón de Oro o es mi impresión,0.0
v7TAEhveCPk,"Loved this video, keep up the great work!",0.8516
v7TAEhveCPk,"Awesome video, looking forward to the next one!",0.6588
v7TAEhveCPk,"Very well done, appreciate this video!",0.6857
v7TAEhveCPk,"This was exactly what I needed, thanks!",0.4926
v7TAEhveCPk,"Hansi Flick, mis respetos, así es como se trabaja con un equipo, táctica,  estrategia y saber poner a los jugadores en el momento correcto, felicitaciones por el",0.0
v7TAEhveCPk,Thank you for the great content!,0.784
v7TAEhveCPk,"This was exactly what I needed, thanks!",0.4926
v7TAEhveCPk,"This was exactly what I needed, thanks!",0.4926
v7TAEhveCPk,"Your videos are always so helpful, thank you!",0.7708
v7TAEhveCPk,Thank you for the great content!,0.784
v7TAEhveCPk,"Very well done, appreciate this video!",0.6857
v7TAEhveCPk,"You explained this so well, thank you!",0.7014
v7TAEhveCPk,"Awesome video, looking forward to the next one!",0.6588
v7TAEhveCPk,"Very well done, appreciate this video!",0.6857
v7TAEhveCPk,"This video was amazing, learned a lot.",0.5859
v7TAEhveCPk,"Thank you for this video, very enlightening!",0.7495
v7TAEhveCPk,"Your videos are always so helpful, thank you!",0.7708
v7TAEhveCPk,"A llorar a llorar, ese Correa es de mala suerte ya no deberían convocarlo",-0.296
v7TAEhveCPk,"Fantastic video, really appreciate your effort!",0.7836
v7TAEhveCPk,"This video was amazing, learned a lot.",0.5859
v7TAEhveCPk,"This was very informative, appreciate it.",0.4549
v7TAEhveCPk,"This was very informative, appreciate it.",0.4549
v7TAEhveCPk,"This was exactly what I needed, thanks!",0.4926
v7TAEhveCPk,"Thanks for sharing this, learned a lot.",0.6908
v7TAEhveCPk,"This was very informative, appreciate it.",0.4549
v7TAEhveCPk,"This was super helpful, thanks!",0.8718
v7TAEhveCPk,"Very well done, appreciate this video!",0.6857
v7TAEhveCPk,Thank you for the great content!,0.784
v7TAEhveCPk,"This was super helpful, thanks!",0.8718
v7TAEhveCPk,"Your videos are always so helpful, thank you!",0.7708
v7TAEhveCPk,"You explained this so well, thank you!",0.7014
v7TAEhveCPk,Y el minuto de silencio por el doctor donde esta? Que aplazaron el partido por eso pero parece que los cules ya se olvidaron.,0.0
v7TAEhveCPk,Que felicidad de Flick saltando 💙❤️,0.6369
v7TAEhveCPk,"You explained this so well, thank you!",0.7014
v7TAEhveCPk,"Fantastic explanation, thank you!",0.75
v7TAEhveCPk,"Fantastic video, really appreciate your effort!",0.7836
v7TAEhveCPk,Thank you for the great content!,0.784
v7TAEhveCPk,"This video was amazing, learned a lot.",0.5859
v7TAEhveCPk,"Loved the content, keep it coming!",0.636
v7TAEhveCPk,Great video! Really enjoyed it.,0.8395
v7TAEhveCPk,"Loved the content, keep it coming!",0.636
v7TAEhveCPk,"Fantastic explanation, thank you!",0.75
v7TAEhveCPk,"Fantastic explanation, thank you!",0.75
v7TAEhveCPk,"Fantastic video, really appreciate your effort!",0.7836
W1KmmQ3PJmA,Great video! Really enjoyed it.,0.8395
W1KmmQ3PJmA,Really appreciate the insights in this video.,0.4576
W1KmmQ3PJmA,"Loved the content, keep it coming!",0.636
W1KmmQ3PJmA,"Awesome video, looking forward to the next one!",0.6588
W1KmmQ3PJmA,"You explained this so well, thank you!",0.7014
W1KmmQ3PJmA,"This honestly kinda sucks. It feels like were only going to get a few more videos with ty and the bunco ladies, because shawna literally cant find a spot where she will fit comfortably within the dynamic, especially considering there is someone in the group who apparently hates her guts. I guess we might be looking at a new chapter, because i would not keep trying to stay in a place where i have some friends but im constantly on edge with the one person who can&#39;t stand me. I think a lot of friendships might have just ended in this video 😢<br><br>Or Julie might have a come to Jesus moment and actually try a little better communication with Shawna so they can be amicable I mean FOR GOD&#39;S SAKE Shawna drove you to the hospital when your water broke, she didn&#39;t HAVE to do that. God knows Julie would not have if the roles were reversed, and if Julie seriously continues to treat Shawna like something she stepped in after this, I will have no more patience for her, I&#39;m hanging on by a thread as it is. Honestly, as a mom myself, I would be so disappointed in my daughter if I found out she was treating someone like that for no reason.",0.8463
